username,comments
nataniayapen,@ikan_patin_9 cukup sudah🤣
_marcello_06_,Dpt bayar berapa min?😂
day__dacosta,🤣🤣🤣🤣🤣🤣🤣stop lemon🍋🍋 sdh yo 🤣
dedi_oktakappuw,😂😂
cmroses_,😂😂😂😂😂😂
elthonrf,Admin admin 😁
jokoirwin,PERCAYA..?? SULTAN KURANG KENYANG KAH?
hildaaa121,Beda pilihan boleh lah🖐️
p.thugs_store,Arus cara mati 🔥🔥🔥✨✨✨
supersonix3,Kamu yg tra suka ARUS ini klu dia menang kamu  tra kaco to?😂😂😂😂
warwick_korano,🌊Arus kencang 🌊
ayaledhy,Dari rekam jejak kayanya 03 yg jelas
ikan_pusing96,"Ijin nyimak sja min.😁😁😁 Btw barang kali ada yg minat anakan siberian husky, usia 8 minggu area sorong bisa inbox 🙏🙏😁"
keyser_sa,☝️saya
mesackromario,🤣🤣🤣🤣
kadrundongooo,Muka tra meyakinkan
rotiunyil_00,Lelucon menuju akhir tahun
vlnk2526,Admin berusaha melawak ? Atau berusaha melucu ? Geli sih
engky_alexis,Kenapa dong ni selama menjabat tdk pernah kpk periksa eh 🤣
gust.i6260,"Admin bilang, Kam mo komen bgmnpun jg tra akan mempan. Admin ada kejar amplop natal k ini😂🤣"
erwinfun,"Sudah terbukti d laut sana bagerak sedikit keluarga sebut” pace nama terus semua donk harus stel dulu.,jalan raya aja kek g terawat rutin pdhl daerah wisato coba bagus indah bersih mulus kah.."
_nyong__09,Yg tinggal di Bintuni su paham to Petrus gimana😂
riomamoribo93,Yahh Kalo Tidak Dukung Yah jangan Coblos...susah Kalo Amplop Sudah Ditangan...Dari Periode ke periode Yg Punya Uanglah Yg Menang..Buktinya Walkot Tercinta Kita Kemarin Tetap 2 periode Walau Seluruh Rakyat Membenci 😅🤫🤣
paul11_christo,OAP???? 😂 dan dari raja ampat sja byk cerita negatif mo 😂😂
in.byak18,SDM Yang BAGAIMANA yang mau DIPERJUANGKAN 😢😢😢
stvigntha,Ini berita kah derita?? 😭🤣
bertho1962,"Up akun ini banyak2 boleh kapa, soalnya nominal endorse yg de terima ini bikin akun media ini tdk melakukan fungsionalitas sebagaimana mestinya… baru kali ini lihat Akun berita dunia maya yang model berat sebelah… Ko gnti akun ini ke akun endorse saja. Karna berita yang ko up ini tra sejalan sekali."
lyjel_28,🤣🤣🤣
eviesofiani,Suka bac komentarnya 😃😃
azure_kuu,Yg tinggal di Bintuni suaranya mana? Apa yg sdh  beliau buat utk kemajuan Bintuni?
__lindarhk16,🤣🤣🤣🤣
ricky.tamaka,Setiap pemimpin ada +-Semua dikembalikan kepada masyarakat utk memilih siapa yg lebih layak..
ymimawatem,"Neh admin Morbon, ko tinggal diRaja Ampat sini baru ko Rasakan dan Boleh"
meiketumpao,"Nnti klo de kasih wan kam ambil saja, coblos org lain, setidaknya de pu uang yg bayar kiri kanan tu habis dolo😂😂,"
landy_saint,Sudah terbukti tdk ada kemajuan berarti. Sy sdh rasa itu pace 2 pny kepemimpinan.
frainnestamarley,"ADMN KO PU KABAR TIDUR TERLALU MIRING Akun ini sudah bekerjasama dengan POLRI daerah PDB khususnya kota sorong,dan dianggap sebagai media Lokal,karena akurat dalam hal memberikan informasi atas kejadian di daerah Kota Sorong.walapun tidak diakui secara resmi.TAPI KOK,MENTALNYA SEPERTI INI 😪?INI TERLALU BERSIFAT PRIBADI,SEBAIKNYA ADMIN POSTING DI AKUN PRIBADI.136rb pengikut itu,mengikuti karena mereka mau mendapatkan informasi yang akurat dan terpercaya,tentunya informasi kejadian yang bersifat umum agar bisa menjadi perhatian bersama.JANGAN CARI KESEMPATAN UNTUK KAMPANYE DI AKUN “KO PU KABAR”"
drmrsoegiono,Berak
rirariron,Pantai WTC jadi bukti 10thn punya hasil apa
wellemm_____95,Kalo ko dari Raja Ampat ko akan atau Pace de punya jejak 😂😂
awaaaaaptri_,sekali trunn Bntuan pasar mnyala bkn hnya bantuan sembako bantuan uang pun ada Gasss no 1😍
erwinfun,"Adoh sy maitua pu undian umroh di bazzar kampus stain dri februari 2023 sampe skrg brg blm ada kabar tu stop bajanji barang lain dulu.,janji buat jalan tuhan sj tra jelas kapan apalagi janji proyek pasar yg 5 tahunan pasti tabakar sj.,"
boyramsc,INI AKUN INFORMASI DAN BERITA ATAU AKUN CALEG NI ?? KAM SEMUA SAMA AJA..AKUN INI KA..SORONG STORI KA SORONG INFO KA..SEMUANYA SAMA AJA BERPIHAK PADA 1 PASANGAN CALON..KAM HARUS NETRAL..BERITA SAJA YG KASIH KELUAR BUKAN KONTEN KAYAK GINI.. KALO KAYAK GINI BOLEH ASAL ADIL BUKAN 1 PIHAK AJA.. JANG MENTANG2 KAM PU FOLLOWERS BANYAK JD KAM DI BAYAR UTK ENDORSE 1 PASLON.. GANTI NAMA AKUN AJA KALO KAYAK GINI.. BUKAN PASLON YG SALAH..TP ADMIN YG SALAH.. 😂😂😂😂 TAMBAH LUCU.LUCU
nuzmambor,"Siapa Pun Pemimpin Yg Terpilih pasti Juga akan berkata demikian, yaitu Bangun Pasar, Karna dong Bangun Pasar tu Bukan Pakai Uang Pribadi atau Gaji Mereka, Tapi pake Uang Negara ... Karna Apa.... Karna itu Pasar Induk / Pasar Utama, jdi Sudah Pasti Akan Di Bangun Ulang. ( SAMPE SINI PAHAM TO)"
mella.real,"Sa pung mama tadi dapat bantuan sembako, semoga sehat selalu bpk Afu🙏🏻🙏🏻"
rayjumame,Pilih pasangan yang problematik untuk apa raja 4 su tra bangun pasar ada tinggal belantara begitu bru mo janji bikin pasar di sorong gaji pegawai saja ada susah menghayal ehhh 😂
andre22376,Waisay psar sj kyk jelek gitu bertahun2 br mw dtg bgun psar sorong yg bnr sj🤣😂
vlnk2526,Elisa kambu yes
kadrundongooo,Su tau to kenapa pasar tabakar 🤣🤣🤣🤣 ya karna ada api... Meledak... Manyala sorong ku 🤣🤣🤣🤣
maluku_papua0953,"AFU JELAS, untuk saat ini afu saja yg bisa di pegang janjinya, kemarin beliau mengunjungi pasar remu dan bertemu korban kebakaran, beliau langsung memberikan sembako dan uang tunai kepada korban kebakaran."
uchyandinata,ARUS SEMAKIN KENCANG 🔥🔥🔥
alfandimsafarusnita06,😍
ferdinando_135,"Masyarakat umum atau yang asli orang raja ampat saja ada yang bilang percaya orang ini (jadi pemimpin pemerintahan) untuk apa, di raja Ampat saja hancur-hancuran dari sisi tertentu terus masyarakat yang tinggal di Sorong kamu ngotot untuk pilih orang ini jadi pemimpin untuk apa, mau hancurkan provinsi ini lagi ka stop sudah ee ini provinsi masih baru."
rayjumame,Raja 4 pu pasar saja tra bangun baru menghayal apaa masyrakat sorong ini sudah pintar ini admin ko pu kabar tra netral kam paslon 5 tpi satu yang di up trus admin terima uang berapa tiap post ?😂
awaaaaaptri_,❤️❤️❤️❤️🔥🔥🔥
ye_kambu,Waisai jadi kota mati. Raja ampat tudak mengalami perkembangan....
ayomisaulll_,Seperti di Jawa yaa tidak ada yg warna hitam di video ini semua warna putih 🤣
ryan_febryansyahh,Dan lihat rekam jejak beliau di kab raja ampat...
eriick_malastau67,❤️❤️
kadwor____smurem,bhaa uang duduk  berapa sa roko habis nih😂🤣🤣🤣
atta_fanagles29,Dari Sekian Banyak Pemimpin/Paslon.. Hanya Bpk Elisa Kambu yg bangun bandara di atas rawa dan itu nyata.. 27 November menentukan 5 tahun pembangunan
delzon021,Mari kita tertawa gotong royong 😂😂😂
wilson_sob,Arussss 🔥🔥🔥..terbaik untuk PBD 10 TAHUN ❤️❤️
dovi.mopor,Terbaik🙏🏾
nandes_066,Adooooo dri muka sja su kantara klo omong kosong besar 😁
keyser_sa,intinya bapak afu yang andalan gas👏👏👏👏👏👏
m3nt0s.r4w3x,Maklum Admin Juga Kan Pendatang
papuaku97,ARUS Kencang👍👍👍
faaidyn,Bertarung tanpa menjatuhkan. Marii kompetisi yg sehat. Tidak usah kita sebagai masyarakat saling hujat. Salam sehat untuk kita 🙌🙌🙌
jhonatan_guztaf,"Merasa tersentuh ya dtg liat sj, jgn cari pencitraan lagi raja Ampat sja 10 tahun trda perubahan semua pembangunan yg ada peninggalan bupati sebelum nya mo🙌😂"
jendri2934,"Biasanya yg orang masuk lewat pintu dapur itu , Yo itu sdh 😂😂😂😂"
isal_2223,"intinya begini saja..siapapun itu yg jd gubernur,,jgn bikin tingkahlah seperti memanfaatkan dana daerah yg seharusnya bangun jalan atau fasilitas terutama sekali nih hrs bs atasi banjir diprovinsi papua barat daya khususnya kota dan kabupaten sorong"
73456841121_,𝚜𝚝𝚘𝚙 𝚋𝚊𝚔𝚞 𝚝𝚒𝚙𝚞 𝚜𝚞𝚍𝚊𝚑 😆😆
elisabethrajab_,Yg domisili Rj4 nangis di pojokan pasar 🫨
617theodora,😂😂😂😂😂😂😂😂😂😂😂 jang bkin lucu k
ryan_wiliam15,Gas no 1 RUBTUHKAN KEKUASAAN PEMERINTAHAN KELUARGA YG RAKUS KUASA ITU AFU DAN MOY 1
madikojjo_,Menyala afu ku🔥
blackpapua_islandboy,Waisai spanggal kecil itu sja KO sdh tdk mampu atasi baru mau bicara sombonk bilang mau bangun pasar remu🥱woyyy upah ASN di raja ampat dikemanakan... Jgn pura-pura buta dan tuli terhadap masalah yg KO kasih tinggal di Raja ampat
yermia_way,Pecetus korupsi tertingi di r4😂
abangnila46,Mau tipu siapa
ymimawatem,Yamh Tinggal Di Raja Ampat Nyimak ajalah🫣
hanamariakareth,"Janji Manis teruss, Mana Buktinya?? Menjabat selamat 10thn ad bikin apa eee,,😂😂"
chrisss_k8,"""Politik adalah seni merayu hati rakyat sebelum pemilihan, dan melupakan mereka setelahnya."" Apa kabar PBD😅😂"
earanoda39,OAP OAP an 😂
fritsmnx,😂😂😂😂
meymeyazurra,*menyimak😮
paskhalinaaa__,Kami nyimak ajjaaalahhh ya 😭🤣
ruffy8615,Stop Hambur Lemonnnn sudahh 🤣🤣🤣
napikoslet,Politik seee abunawasss seee😂😂😂😂
fitrinurhayati_mci,Rata² komen mnjawab 10 thn pgang raja ampat mana hasilnya.. 🥱
andireanto,Tetap elkam yang terbaik❤️
nejo267,Dong 1 paket mungkin.mantap
gogos_4797,"pasar di waisai raja ampat sana itu trada  model, 😂😂 stop lemon masyarakat sudah yoo😂😂😂"
abdur.3443,"Kalau  cari suara tu smua mo datang dimanapun itu.. bahkan api masih menyala dong datang.tp nanti kalau dong su terpilih tu pasar semrawut,dong bangu lapak smpe d jalan2 sana bahkan tutup got untuk bangun lapak dong tra urus..dtg liatpun Trada😂😂😂"
rudyiwan121,omong kosong doang aj😂😂
ernnytaisir,Haha okeuda😂
dinaastari,Liat”mi ada mukamu ka tdk 😂 @rhynatpk
alnazera_ky,Sa diam saja
rendy.dn_,Mati banyak @rnhrdjnthn @calvinjohan_ @jhul.ohoimas
trisnosukarmo,Semua calon pasti akan mengatakan hal yang sama
ibaaaa20_,"Sopan santun dalam politik adalah kemunafikan 🔥🙏 , Sampe sekarang blm ada lembaga yg buat forum khusus mengkritik kebijakan pemerintah nantinya 😴🙏"
iscstmrng,😂😂😂 @ariyadi_tihurua96 @julanashari @ardalfn
souisajhein9214,Yooooo iyooo ya hahahaha😂😂😂😂
e_story96,Malas urus politik kerja gini saja bangun papua jdi lebih baik
bryanyeuwun,Ya nanti kita lihat kedepan aja 🫣
udininaco,Wkwk land
alfandimsafarusnita06,@achmadyah_doi
jeanette_jilly,😆😆😆🥱🥱🥱🥱🥱
ferdinando.antoni,Iya semua pada cari suar* 😂
rottieronny,manyala.
devid___saa,"Afu fui"""
arsyan.sndy,🥱🤣
saidabdullah801,🤭
jeremia3215,👏yg penting di aminkan
vinny.septian,"Waisai yg secara luasnya tidak sebesar Sorong, pada kenyataanya GAGAL selama dipimpin bapak ini 😢"
jitmauikailen,Ok uda su lihat jdi jng lupa baku taruh bangun toh😁
pacebaribut,Coba kam tunjuk 1 Prestasi nya Pace ini
rianleon72,Aruss terbaik 😘🤫
nadyaahasan19,Arus Terbaik ❤️🔥
enjelljheje,Tetap Elisa Kambu ❤️
marssela_nauri,😂😂😂😂
korekk_kayuuu,😂😂😂😂😂
al_store_sorong,AFU jelaasss ko terbaik harus dan sewajarnya Menang .... ewakooo 🔥
aldysabaleku01,"R4 SJ Trada bukti apa"" yg de BKIN 2 periode jdi jgn mau dtng tipu kami di Sorong sni🤣👍"
aronrahakbauw,Kalau raja Ampat su hancur. Jang bikin Sorong seperti raja ampat🔥
riyanie83,"pilih bapak pembangunan, jgn plih yg yg yg yg"
fredinand_vicky,😂😂😂😂😂
chriesdelfian13,"Terhebat 🙌❤️ Walaupun Banyak isu buruk tersebar mengatas namakan ARUS Tapi Arus Tetap Kuat. Jadi jangan Lawan ARUS Ya, nanti Hanyut🤭💪❤️ @arus.pbd  Terhebat"
itsylvaaa_99|1nz_tian|kopukabar|harcosta|1nz_tian|kopukabar|1nz_tian,"Ijin min, paslon 1 sama 3 misinya sama ya..|@itsylvaaa_99 mimin kurang tau soal itu, silahkan japri ke sa., Biar sa jelaskan ya|@1nz_tian 😅|@1nz_tian ngeri|@kopukabar becanda min 🙃|@1nz_tian ayo gas terus bang 😅|@kopukabar ampun min sudah di banting ka hp ku 🤣🤣🤣"
pipox3609|msqiper,ARUS masih kencang ya????|@pipox3609 yoi lahhh
debbyratulangi|xyz29091993,"Gmn kabar Raja Ampat Pak Calon Gubernur...😂🙏|@debbyratulangi sejauh ini lagi tidak baik"" saja😂"
mbaria24,Elisa kambu dan Gabriel Asem pu Misi bisa sama persis bgtu tuu.. KPU yg salah input atau dong pu tim yg asal copy dri internet ni 😂😂😂
esapbd_official,ESA For PBD 👏
soqspace_,Slide pertama nih tidak salah Provinsi kah ??? Koq masih aja di kasih ruang ?? MRP HARUS KONSISTEN DONG !!!
bombom.25,"Dari semua calon tdk ada yg punya misi bikin papua barat daya menjadi kota yg sehat kah, bangun RTH dengan Fasilitas Olahraga yg lengkap bgtu 😢😢"
novalia_enus,Gubernur PBD kali ini org Maybrat dulu ya.. .. Yg lain Tahan dulu...
desiyantinababan,😂😂😂😂
kanis.umasugi,Smg dpt pemimpin terbaik dr yg terbaik 👏
steven86111,Ad nga visi misi tentang pencuri dan begal😂
andimate__,GAUL🔥
uchyandinata,Arus masih kencang sepertinya 🔥
erwinfun,Sioooo tonk pu icon pulau wisata sana akan sj tra betul satu di dalam kotanya sana bru nti jd gub ini mw omkos apa lagi
renggaadithria,Barang jalan biasa saja tetap lolos saja e… su sampe pleno tapi KPU yang kasi jalan… demo juga barang memenuhi syarat.. namanya juga politik ya begitu sudah.. tergantung pemilih saja nanti 💪🏻😅👌 semoga PBD berkembang dan lebih aman 😇
chev._in,E-government ini gagasan bagus tapi eksekusinya harus cermat dan tepat
nandes_066,Klo Afu lolos berarti fix MRP lgi gacorr itu saja no debat
jj_akwan,Misi panjang sampe..
mhaeqaltriyono,"Ditunggu kapan debat kandidat 🔥 adu gagasan termasuk soal kesejahteraan PNS, PPPK dan TNI - POLRI di wilayah Papua Barat Daya"
vhandry_,Siap” ada kemacetan di kota sorong lagi🤣🤣
sondakjohanes,MRP tdk dianggap 🤭
xywstu,Itu abang kami 😭😭
vena_tokan30,AFU jd naik yah?
warex_4_20,PERESIDEN DI PARTAI MANA🤣 GUBERNUR PASTI DI SITU👏🔥🔥🔥
rando_syarif,Visi-misi smua su bagus tapi kurang banjir yg tdk ada penanganan.
chriesdelfian13,ARUS💯
pace_tana_mera,Afu kalau lolos Berarti MRP bubar sj karena suda tdk di anggap di Republik ini
5amshines,"Semangat Bp letjen & Bp Raja, Menyala IMEKKO. 🧣"
israael_xx,Ada 2 visi calon yang sama nyaris 3 calon tapi yg 1nya di acak sdkt…Ayolah Bapak” calon yg top🥹
jovicmrcll_,lah kok ada si fui fui 🤣
kgifelem,Tra usa banyak visi n misi ..yg kita mau kerja nyata...hari ini di Lantik 1 atau 2 hari eksekusi.. lihat 100 hari kerja apa yg di bua..Itu sja..
glen_djamanmona,😂😂😂
msqiper,Arus kencang ternyata 🙌
ibaaaa20_,"Saya 19thn , cuman tamat SMA  Menurut saya gubernur ngk boleh punya Visi Misi krna mereka fungsi bukan pemimpin, Kalo kamu paham kamu pasti tau logicnya , 🙏☺️"
febbryant17____,curiga KPU su dpt sogok 1M ini 🙈
muren498,Esa Masi terbaik ❤️
_srirtabam,"Tanah Papua Punya kebijakan tapi Negara punya Kekuasaan MRP Lemah,,,,😎🙏"
budi_sail,🙏🙏
ishabonstalin,"Masaa mengaku diri sebagai orng Papua, koo hrs jln cri"" pengakuan lgii biar di akui sebagai orng Papua, berarti jelass bukan orng Papua, makaxx jln crii"" pengakuan diri..🤔🙃🙂"
_belfrytulak,ARUS 4 PBD
_tempeeeee__,Info nama gamenya 🙏🤣
itsylvaaa_99|1nz_tian|kopukabar|harcosta|1nz_tian|kopukabar|1nz_tian,"Ijin min, paslon 1 sama 3 misinya sama ya..|@itsylvaaa_99 mimin kurang tau soal itu, silahkan japri ke sa., Biar sa jelaskan ya|@1nz_tian 😅|@1nz_tian ngeri|@kopukabar becanda min 🙃|@1nz_tian ayo gas terus bang 😅|@kopukabar ampun min sudah di banting ka hp ku 🤣🤣🤣"
pipox3609|msqiper,ARUS masih kencang ya????|@pipox3609 yoi lahhh
debbyratulangi|xyz29091993,"Gmn kabar Raja Ampat Pak Calon Gubernur...😂🙏|@debbyratulangi sejauh ini lagi tidak baik"" saja😂"
mbaria24,Elisa kambu dan Gabriel Asem pu Misi bisa sama persis bgtu tuu.. KPU yg salah input atau dong pu tim yg asal copy dri internet ni 😂😂😂
esapbd_official,ESA For PBD 👏
soqspace_,Slide pertama nih tidak salah Provinsi kah ??? Koq masih aja di kasih ruang ?? MRP HARUS KONSISTEN DONG !!!
bombom.25,"Dari semua calon tdk ada yg punya misi bikin papua barat daya menjadi kota yg sehat kah, bangun RTH dengan Fasilitas Olahraga yg lengkap bgtu 😢😢"
novalia_enus,Gubernur PBD kali ini org Maybrat dulu ya.. .. Yg lain Tahan dulu...
desiyantinababan,😂😂😂😂
kanis.umasugi,Smg dpt pemimpin terbaik dr yg terbaik 👏
steven86111,Ad nga visi misi tentang pencuri dan begal😂
andimate__,GAUL🔥
uchyandinata,Arus masih kencang sepertinya 🔥
erwinfun,Sioooo tonk pu icon pulau wisata sana akan sj tra betul satu di dalam kotanya sana bru nti jd gub ini mw omkos apa lagi
renggaadithria,Barang jalan biasa saja tetap lolos saja e… su sampe pleno tapi KPU yang kasi jalan… demo juga barang memenuhi syarat.. namanya juga politik ya begitu sudah.. tergantung pemilih saja nanti 💪🏻😅👌 semoga PBD berkembang dan lebih aman 😇
chev._in,E-government ini gagasan bagus tapi eksekusinya harus cermat dan tepat
nandes_066,Klo Afu lolos berarti fix MRP lgi gacorr itu saja no debat
jj_akwan,Misi panjang sampe..
mhaeqaltriyono,"Ditunggu kapan debat kandidat 🔥 adu gagasan termasuk soal kesejahteraan PNS, PPPK dan TNI - POLRI di wilayah Papua Barat Daya"
vhandry_,Siap” ada kemacetan di kota sorong lagi🤣🤣
sondakjohanes,MRP tdk dianggap 🤭
xywstu,Itu abang kami 😭😭
vena_tokan30,AFU jd naik yah?
warex_4_20,PERESIDEN DI PARTAI MANA🤣 GUBERNUR PASTI DI SITU👏🔥🔥🔥
rando_syarif,Visi-misi smua su bagus tapi kurang banjir yg tdk ada penanganan.
chriesdelfian13,ARUS💯
pace_tana_mera,Afu kalau lolos Berarti MRP bubar sj karena suda tdk di anggap di Republik ini
5amshines,"Semangat Bp letjen & Bp Raja, Menyala IMEKKO. 🧣"
israael_xx,Ada 2 visi calon yang sama nyaris 3 calon tapi yg 1nya di acak sdkt…Ayolah Bapak” calon yg top🥹
jovicmrcll_,lah kok ada si fui fui 🤣
kgifelem,Tra usa banyak visi n misi ..yg kita mau kerja nyata...hari ini di Lantik 1 atau 2 hari eksekusi.. lihat 100 hari kerja apa yg di bua..Itu sja..
glen_djamanmona,😂😂😂
msqiper,Arus kencang ternyata 🙌
ibaaaa20_,"Saya 19thn , cuman tamat SMA  Menurut saya gubernur ngk boleh punya Visi Misi krna mereka fungsi bukan pemimpin, Kalo kamu paham kamu pasti tau logicnya , 🙏☺️"
febbryant17____,curiga KPU su dpt sogok 1M ini 🙈
muren498,Esa Masi terbaik ❤️
_srirtabam,"Tanah Papua Punya kebijakan tapi Negara punya Kekuasaan MRP Lemah,,,,😎🙏"
budi_sail,🙏🙏
ishabonstalin,"Masaa mengaku diri sebagai orng Papua, koo hrs jln cri"" pengakuan lgii biar di akui sebagai orng Papua, berarti jelass bukan orng Papua, makaxx jln crii"" pengakuan diri..🤔🙃🙂"
_belfrytulak,ARUS 4 PBD
_tempeeeee__,Info nama gamenya 🙏🤣
daungatal24,Lbh tepat maju di pilgub MALUKU.. Sesuai dgn bapa pu Garis Keturunan 🙏😁
owalincah,Neh kam kena hujan baru afu de tidur polo de maitua dirumah k sioo
breezya_annamaria,"perasaan pertanyaan MRP kemarin itu, Mendesak Pimpinan Pusat Partai Politik wajib mencalonkan Orang Asli Papua dari Wilayah Adat masing-masing untuk jabatan Gubernur dan Wakil Gubernur, dan Orang Asli Papua dari Kabupaten/Kota terkait sebagai Calon Bupati/Wakil Bupati dan Calon Walikota/Wakil Walikota dalam Pemilihan Kepala Daerah Tahun 2024, kalau ko asli papua jangan minta validasi dari LMA' orang lihat marga saja dong tau, serius tanya UMLATI ini dari raja4 kampung mana? kalau dari papua jauh sx dari OAP 25% itu jauh sx yesus, darah shu tacampur  ko mau ngotot apa di KPU? bedah lagi putusan MRP yang, Keanggotaan DPRP dan DPRK melalui pemilihan umum setidak-tidaknya 80% OAP dan 20% Non OAP.  TOLONG baca kah anak"" yang punya orang tua ada ikut demo kam kasih, dong baca komentar ini 🤣🫣 ko pegang 500/1jt tapi ini bukan soal uang, soal bagaimana PBD besok maju atau tidak? di tangan yang tepat atau tidak?"
_acaa.21,tim baca komen😂
_goldabs,"Yang merasa punya bpk,mm,kk,ade,ipar,nenek,tete yang ada ikut demo ni kam tolong skli untuk kunci dong dalam rmh saja k kasihan jangan terlalu bikin malu bgni. Org ada berusaha bicara hak OAP baru kam hanya dapat tampar dengan 500k langsung bisa antar diri kena panas mandi hujan sampai walkot tu sedihhhh 😩🤭😂"
femmy_agusthine,Datang cari makan minum sajaa tra usah menghayal jadi tuan 🤧.
msnimasipa,"Lucu yaaaaa yuhhhh  musim hujan ni jang telalu kumpul”, jalan licin 🤣🤣🤣"
etto_sr,😭😭😭
josephyumame10,Komoditas politik praktis semangat 🔥🔥
_1984wg,Jih kam paksa barang apa ni
fauss.sedik,"cari makan dan dapat tanah gratis itu kayanya cukup bersyukur dulu, stop ambisi lebih lagi!!🤣"
valentino.nauw,Tau malu boleh to.. 😢
samaria_krw,bikin adat antar maskawin ❎ bikin ada demo protes putusan KPU & pernyataan MRP ✅ 🤣🤣🤣🤣🤣🤣🤣
meilanmambrisauw,"Tuan Rumah buka pintu itu di suruh masuk tapi cukup duduk di ruang tamu, bukan masuk langsung mau kuasai isi dalam Rumah, Itu namanya TRATAU SOPAN, HUSSSSSSS PULANG SANA, 🤭"
pace_tana_mera,Ikat kain mera di kepala ni Kam pikir ini  d Maluku sana 😂😂
kebass________,"Trda orang Papua yg pke kain merah di kepala, jdi budayakan tahu diri & tahu malu."
cr_bapa7,Selagi ko bukan OAP jangan ko paksa sudah 🤣
_tempeeeee__,Raja Ampat tempelan beraksi😂😂
pns_brutal,Bikin Resah saja Bikin Jalan macet
feeeera__kmb,Malu sama kenyataan dan jati diri itu 😏👌🏻
